commit	mean_brier	elapsed_s	status	description
baseline	0.166206	758.7	keep	XGBoost baseline (n_est=500 depth=2 lr=0.03 lambda=5.0) all 30 features
b12c9fb	0.169886	1727.7	discard	XGBoost grid-best all 40 features
963a7b6	0.167226	1737.3	discard	LightGBM 30 features
9f49fb6	0.166255	1739.9	discard	XGBoost + polls (33 features)
8b85552	0.173266	1819.1	discard	XGB+LGB ensemble
1dac2b3	0.172200	1954.8	discard	XGBoost + isotonic calibration
51f9378	0.165583	1771.4	keep	Power ratings only (16 features)
5e6d523	0.166357	1771.0	discard	+ off/def efficiency (18 feat)
b3799bb	0.178491	7527.5	discard	Dart boosting — very slow, much worse
(side)	0.166151	1889.7	discard	CatBoost 16 features
1a61732	0.165857	1803.0	discard	XGB n=1000 lr=0.01
403dbfb	0.164918	1771.0	keep	Drop individual Massey, keep avg only (11 features) — BEST
43ee2b2	0.169287	1771.0	discard	Ultra-minimal 6 feat — cut too deep
(side)	0.165188	1800.0	discard	11 feat + higher reg (λ=10, α=0.5)
cda2589	0.164997	1771.0	discard	11 feat + game_count_avg
(side)	0.165462	1800.0	discard	11 feat + depth=3
75726e8	0.165027	1837.6	discard	11 feat + sigmoid calibration
